#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         404    -5.44335    -5.45199 0.000868273
         405    -5.44396    -5.45197 0.000866356
         406    -5.44394    -5.45195 0.000864448
         407    -5.44391    -5.45193  0.00086255
         408    -5.44355    -5.45191  0.00086068
         409    -5.44417    -5.45189 0.000858783
         410    -5.44447    -5.45187 0.000856879
         411    -5.44477    -5.45185 0.000854968
         412    -5.44539    -5.45184 0.000853037
         413    -5.44505    -5.45182  0.00085113
         414    -5.44535    -5.45181 0.000849218
         415    -5.44532    -5.45179 0.000847316
         416    -5.44497    -5.45177 0.000845437
         417     -5.4443    -5.45176   0.0008436
         418    -5.44363    -5.45174 0.000841805
         419    -5.44361    -5.45172  0.00084002
         420    -5.44521     -5.4517 0.000838163
         421    -5.44519    -5.45169 0.000836315
         422    -5.44549    -5.45167 0.000834462
         423     -5.4458    -5.45166 0.000832605
         424    -5.44578    -5.45164 0.000830756
         425    -5.44576    -5.45163 0.000828917
         426    -5.44541    -5.45162   0.0008271
         427     -5.4454     -5.4516 0.000825291
         428    -5.44506    -5.45159 0.000823504
         429    -5.44505    -5.45157 0.000821726
         430    -5.44536    -5.45156 0.000819942
         431    -5.44534    -5.45154 0.000818166
         432    -5.44533    -5.45153 0.000816399
         433    -5.44564    -5.45151 0.000814627
         434    -5.44563     -5.4515 0.000812863
         435    -5.44562    -5.45149 0.000811106
         436    -5.44593    -5.45147 0.000809346
         437    -5.44528    -5.45146 0.000807619
         438    -5.44592    -5.45145 0.000805874
         439    -5.44656    -5.45144 0.000804115
         440    -5.44591    -5.45142 0.000802386
         441    -5.44623    -5.45141 0.000800653
         442    -5.44622     -5.4514 0.000798928
         443    -5.44622    -5.45139  0.00079721
         444    -5.44622    -5.45138 0.000795499
         445    -5.44589    -5.45136 0.000793807
         446    -5.44557    -5.45135 0.000792133
         447    -5.44622    -5.45134 0.000790444
         448     -5.4459    -5.45133 0.000788773
         449    -5.44591    -5.45132 0.000787109
         450    -5.44559     -5.4513 0.000785462
         451    -5.44657    -5.45129 0.000783791
         452    -5.44723    -5.45128 0.000782108
         453    -5.44724    -5.45127 0.000780433
         454    -5.44693    -5.45127 0.000778773
         455    -5.44727    -5.45126 0.000777111
         456    -5.44663    -5.45125 0.000775473
         457    -5.44697    -5.45124 0.000773832
         458    -5.44731    -5.45123  0.00077219
         459    -5.44701    -5.45122 0.000770562
         460    -5.44703    -5.45121 0.000768941
         461    -5.44673     -5.4512 0.000767334
         462    -5.44675    -5.45119 0.000765734
         463    -5.44678    -5.45118 0.000764139
         464    -5.44713    -5.45117 0.000762542
         465    -5.44651    -5.45116 0.000760968
         466    -5.44654    -5.45115   0.0007594
         467    -5.44721    -5.45114 0.000757821
         468    -5.44725    -5.45114 0.000756247
         469     -5.4476    -5.45113 0.000754672
         470    -5.44796    -5.45112 0.000753097
         471    -5.44864    -5.45112 0.000751516
         472      -5.449    -5.45111 0.000749937
         473    -5.44904    -5.45111 0.000748365
         474    -5.44908     -5.4511 0.000746798
         475    -5.44911     -5.4511 0.000745238
         476    -5.44851    -5.45109 0.000743692
         477    -5.44822    -5.45109 0.000742157
         478    -5.44762    -5.45108  0.00074064
         479    -5.44734    -5.45107 0.000739135
         480     -5.4477    -5.45107 0.000737628
         481    -5.44807    -5.45106 0.000736121
         482    -5.44812    -5.45105 0.000734619
         483    -5.44752    -5.45105 0.000733135
         484    -5.44724    -5.45104 0.000731662
         485    -5.44728    -5.45103 0.000730195
         486    -5.44733    -5.45102 0.000728732
         487     -5.4477    -5.45102 0.000727267
         488    -5.44775    -5.45101 0.000725808
         489    -5.44812      -5.451 0.000724348
         490    -5.44849      -5.451 0.000722888
         491    -5.44822    -5.45099 0.000721438
         492    -5.44859    -5.45099 0.000719988
         493    -5.44864    -5.45098 0.000718543
         494    -5.44837    -5.45098 0.000717108
         495    -5.44907    -5.45097  0.00071567
         496    -5.44912    -5.45097 0.000714237
         497    -5.44981    -5.45097 0.000712803
         498    -5.44922    -5.45096 0.000711381
         499    -5.44895    -5.45096 0.000709966
         500    -5.44868    -5.45096 0.000708561
         501    -5.44905    -5.45095 0.000707157
         502    -5.44878    -5.45095 0.000705762
         503    -5.44948    -5.45094 0.000704365
         504    -5.44986    -5.45094  0.00070297
         505    -5.45023    -5.45094  0.00070158
         506    -5.45061    -5.45094 0.000700194
         507    -5.45067    -5.45094 0.000698813
         508    -5.45039    -5.45094 0.000697438
         509    -5.45045    -5.45094 0.000696068
         510    -5.44986    -5.45094 0.000694707
         511    -5.44959    -5.45093 0.000693352
         512    -5.44997    -5.45093 0.000692001
         513    -5.45067    -5.45093 0.000690652
         514    -5.45105    -5.45093 0.000689308
         515    -5.45078    -5.45093  0.00068797
         516    -5.45019    -5.45093 0.000686638
         517    -5.45057    -5.45093  0.00068531
         518    -5.44965    -5.45093 0.000683992
         519    -5.44971    -5.45092 0.000682678
         520    -5.44976    -5.45092 0.000681369
         521    -5.44981    -5.45092 0.000680064
         522    -5.44987    -5.45092 0.000678764
         523    -5.44927    -5.45091 0.000677474
         524    -5.44933    -5.45091 0.000676188
         525    -5.44938    -5.45091 0.000674906
         526    -5.44943    -5.45091 0.000673629
         527     -5.4498     -5.4509 0.000672354
         528    -5.44986     -5.4509 0.000671083
         529     -5.4499     -5.4509 0.000669817
         530    -5.44931     -5.4509  0.00066856
         531    -5.44903    -5.45089  0.00066731
         532    -5.44875    -5.45089 0.000666068
         533     -5.4488    -5.45088  0.00066483
         534    -5.44917    -5.45088 0.000663593
         535    -5.44921    -5.45088  0.00066236
         536    -5.44925    -5.45088 0.000661131
         537    -5.44961    -5.45087 0.000659904
         538    -5.44932    -5.45087 0.000658684
         539    -5.44936    -5.45087 0.000657468
         540    -5.44939    -5.45086 0.000656256
         541     -5.4491    -5.45086 0.000655051
         542    -5.44913    -5.45086  0.00065385
         543     -5.4498    -5.45086 0.000652649
         544    -5.45015    -5.45085 0.000651451
         545     -5.4492    -5.45085 0.000650262
         546     -5.4489    -5.45085 0.000649081
         547    -5.44956    -5.45085 0.000647899
         548    -5.44957    -5.45084 0.000646721
         549    -5.44959    -5.45084 0.000645547
         550    -5.44959    -5.45084 0.000644377
         551     -5.4496    -5.45084 0.000643211
         552    -5.44993    -5.45084 0.000642048
         553    -5.45025    -5.45083 0.000640888
         554    -5.45057    -5.45083 0.000639732
         555    -5.45056    -5.45083 0.000638579
         556    -5.45023    -5.45083 0.000637431
         557    -5.45119    -5.45083 0.000636287
         558    -5.45183    -5.45083  0.00063515
         559    -5.45117    -5.45084 0.000634014
         560    -5.45115    -5.45084 0.000632882
         561    -5.45048    -5.45083 0.000631754
         562     -5.4511    -5.45084  0.00063063
         563    -5.45108    -5.45084  0.00062951
         564    -5.45072    -5.45084 0.000628394
         565    -5.45102    -5.45084 0.000627282
         566    -5.45131    -5.45084 0.000626174
         567     -5.4516    -5.45084 0.000625071
         568    -5.45124    -5.45084 0.000623971
         569     -5.4512    -5.45084 0.000622875
         570    -5.45116    -5.45084 0.000621782
         571     -5.4508    -5.45084 0.000620693
         572    -5.45011    -5.45084 0.000619609
         573    -5.44974    -5.45084 0.000618531
         574     -5.4497    -5.45083 0.000617457
         575    -5.44933    -5.45083 0.000616388
         576    -5.44896    -5.45083 0.000615327
         577    -5.44859    -5.45083 0.000614273
         578    -5.44919    -5.45082 0.000613216
         579    -5.44914    -5.45082 0.000612164
         580    -5.44942    -5.45082 0.000611114
         581    -5.44905    -5.45081 0.000610069
         582      -5.449    -5.45081 0.000609029
         583    -5.44992    -5.45081 0.000607986
         584    -5.45052    -5.45081 0.000606946
         585    -5.45048    -5.45081 0.000605908
         586    -5.45011    -5.45081 0.000604875
         587    -5.45006    -5.45081 0.000603846
         588    -5.44969     -5.4508 0.000602822
         589    -5.44965     -5.4508 0.000601802
         590    -5.44961     -5.4508 0.000600785
         591    -5.44892     -5.4508 0.000599777
         592    -5.44823    -5.45079  0.00059878
         593    -5.44851    -5.45079 0.000597782
         594    -5.44848    -5.45078 0.000596789
         595    -5.44779    -5.45078 0.000595807
         596    -5.44776    -5.45077 0.000594829
         597     -5.4474    -5.45077 0.000593859
         598    -5.44769    -5.45076 0.000592889
         599    -5.44864    -5.45076 0.000591909
         600    -5.44861    -5.45076 0.000590934
         601    -5.44891    -5.45075 0.000589958
         602    -5.44823    -5.45075 0.000588993
         603    -5.44756    -5.45074  0.00058804
         604    -5.44689    -5.45074 0.000587101
         605    -5.44623    -5.45073 0.000586178
         606    -5.44686    -5.45072 0.000585246
         607    -5.44717    -5.45072 0.000584311
         608     -5.4478    -5.45071 0.000583369
         609    -5.44746    -5.45071 0.000582436
         610    -5.44778     -5.4507 0.000581501
         611    -5.44777     -5.4507 0.000580569
         612    -5.44776    -5.45069  0.00057964
         613     -5.4471    -5.45069 0.000578724
         614    -5.44742    -5.45068 0.000577806
         615    -5.44742    -5.45068 0.000576891
         616    -5.44806    -5.45067  0.00057597
