#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         601     9.53522     9.81911   0.0716278
         602     9.53408     9.81864   0.0715104
         603     9.53304     9.81817   0.0713934
         604     9.53207     9.81769   0.0712767
         605     9.53118     9.81722   0.0711605
         606     9.52753     9.81674   0.0710447
         607     9.52465     9.81626   0.0709293
         608     9.52112     9.81578   0.0708143
         609     9.51975     9.81529   0.0706997
         610     9.51702      9.8148   0.0705854
         611     9.51502     9.81431   0.0704716
         612     9.51305     9.81382   0.0703582
         613     9.51252     9.81333   0.0702451
         614     9.50988     9.81283   0.0701325
         615     9.50795     9.81234   0.0700202
         616     9.50461     9.81184   0.0699083
         617      9.5041     9.81134   0.0697968
         618     9.50145     9.81084   0.0696856
         619      9.4995     9.81033   0.0695749
         620     9.49824     9.80983   0.0694645
         621     9.49554     9.80932   0.0693545
         622     9.49422     9.80882   0.0692448
         623     9.49147     9.80831   0.0691355
         624     9.48867      9.8078   0.0690266
         625     9.48724     9.80728   0.0689181
         626     9.48365     9.80677   0.0688099
         627     9.48072     9.80625   0.0687022
         628     9.47985     9.80573   0.0685947
         629     9.47751      9.8052   0.0684877
         630     9.47512     9.80468    0.068381
         631     9.47196     9.80415   0.0682746
         632     9.46944     9.80362   0.0681686
         633     9.46686     9.80309    0.068063
         634     9.46209     9.80255   0.0679578
         635     9.45866     9.80201   0.0678529
         636     9.45657     9.80147   0.0677484
         637     9.45441     9.80092   0.0676443
         638     9.45147     9.80038   0.0675405
         639     9.44846     9.79983    0.067437
         640     9.44538     9.79927   0.0673339
         641     9.44292     9.79872   0.0672312
         642     9.44039     9.79816   0.0671288
         643     9.43637     9.79759   0.0670267
         644     9.43299     9.79703    0.066925
         645     9.42882     9.79646   0.0668237
         646     9.42459     9.79588   0.0667227
         647     9.42169      9.7953   0.0666221
         648     9.41731     9.79472   0.0665219
         649     9.41357     9.79413    0.066422
         650     9.40977     9.79354   0.0663224
         651     9.40732     9.79295   0.0662232
         652     9.40339     9.79235   0.0661243
         653     9.39942     9.79175   0.0660258
         654     9.39327     9.79114   0.0659276
         655     9.38849     9.79053   0.0658298
         656     9.38437     9.78991   0.0657324
         657     9.38092     9.78928   0.0656353
         658     9.37743     9.78866   0.0655385
         659     9.37038     9.78802   0.0654422
         660     9.36754     9.78739   0.0653461
         661     9.36327     9.78674   0.0652504
         662     9.35969      9.7861    0.065155
         663      9.3547     9.78545     0.06506
         664     9.35041     9.78479   0.0649653
         665     9.34613     9.78413    0.064871
         666     9.34328     9.78347   0.0647769
         667     9.33761      9.7828   0.0646833
         668     9.33339     9.78213   0.0645899
         669      9.3292     9.78145   0.0644969
         670     9.32435     9.78077   0.0644043
         671     9.32096     9.78009   0.0643119
         672     9.31691      9.7794   0.0642199
         673     9.31151      9.7787   0.0641283
         674      9.3076       9.778   0.0640369
         675     9.30377      9.7773   0.0639459
         676     9.29578     9.77659   0.0638553
         677     9.29282     9.77587    0.063765
         678     9.28996     9.77516    0.063675
         679      9.2865     9.77444   0.0635852
         680     9.28315     9.77371   0.0634958
         681     9.27851     9.77299   0.0634068
         682     9.27541     9.77226    0.063318
         683     9.27314     9.77153   0.0632295
         684      9.2703     9.77079   0.0631413
         685      9.2676     9.77006   0.0630534
         686     9.26435     9.76932   0.0629658
         687     9.26336     9.76859   0.0628785
         688     9.26041     9.76785   0.0627914
         689     9.25975     9.76711   0.0627046
         690     9.25784     9.76637   0.0626181
         691      9.2561     9.76563   0.0625318
         692     9.25665      9.7649   0.0624458
         693     9.25596     9.76416     0.06236
         694     9.25546     9.76343   0.0622744
         695     9.25443      9.7627   0.0621891
         696     9.25359     9.76197   0.0621041
         697     9.25365     9.76124   0.0620192
         698     9.25248     9.76051   0.0619347
         699     9.25151     9.75978   0.0618504
         700     9.25143     9.75905   0.0617663
         701     9.25156     9.75833   0.0616824
         702     9.25188     9.75761   0.0615987
         703     9.25169     9.75689   0.0615153
         704     9.25311     9.75617   0.0614321
         705     9.25472     9.75546   0.0613491
         706     9.25583     9.75475   0.0612663
         707     9.25713     9.75405   0.0611837
         708     9.25863     9.75335   0.0611012
         709     9.26173     9.75266    0.061019
         710     9.26291     9.75197    0.060937
         711     9.26499     9.75128   0.0608551
         712     9.26655      9.7506   0.0607734
         713     9.26901     9.74993    0.060692
         714     9.27236     9.74926   0.0606106
         715      9.2759      9.7486   0.0605295
         716     9.27821     9.74794   0.0604485
         717     9.28211     9.74729   0.0603677
         718     9.28548     9.74665    0.060287
         719     9.28832     9.74601   0.0602066
         720     9.29204     9.74538   0.0601262
         721     9.29663     9.74475   0.0600461
         722     9.29998     9.74414   0.0599661
         723     9.30349     9.74353   0.0598862
         724     9.30716     9.74293   0.0598065
         725     9.31311     9.74233    0.059727
         726      9.3192     9.74175   0.0596476
         727     9.32544     9.74118   0.0595683
         728     9.33042     9.74061   0.0594891
         729     9.33625     9.74006   0.0594101
         730     9.34151     9.73951   0.0593312
         731     9.34762     9.73898   0.0592525
         732     9.35244     9.73845   0.0591739
         733      9.3595     9.73793   0.0590954
         734     9.36527     9.73742   0.0590171
         735     9.37117     9.73693   0.0589389
         736     9.37576     9.73644   0.0588608
         737     9.38258     9.73596   0.0587829
         738     9.39091     9.73549   0.0587052
         739     9.39793     9.73503   0.0586275
         740     9.40363     9.73458     0.05855
         741     9.41012     9.73415   0.0584726
         742      9.4167     9.73372   0.0583954
         743     9.42336      9.7333   0.0583183
         744     9.42938     9.73289   0.0582413
         745     9.43617     9.73249   0.0581645
         746     9.44231      9.7321   0.0580878
         747     9.44851     9.73172   0.0580113
         748     9.45545     9.73136   0.0579349
         749     9.46173       9.731   0.0578587
         750     9.46944     9.73065   0.0577826
         751     9.47436     9.73031   0.0577067
         752     9.47928     9.72997   0.0576309
