#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         346    0.951817    0.950591 2.89293e-05
         347    0.951828    0.950594 2.90648e-05
         348    0.951839    0.950598 2.92006e-05
         349     0.95185    0.950601 2.93366e-05
         350    0.951862    0.950605  2.9473e-05
         351    0.951873    0.950609 2.96096e-05
         352    0.951885    0.950612 2.97465e-05
         353    0.951896    0.950616 2.98838e-05
         354    0.951908     0.95062 3.00213e-05
         355    0.951919    0.950623 3.01591e-05
         356    0.951931    0.950627 3.02972e-05
         357    0.951942    0.950631 3.04356e-05
         358    0.951954    0.950634 3.05743e-05
         359    0.951966    0.950638 3.07132e-05
         360    0.951978    0.950642 3.08525e-05
         361    0.951989    0.950645 3.09921e-05
         362    0.952001    0.950649 3.11319e-05
         363    0.952013    0.950653 3.12721e-05
         364    0.952025    0.950657 3.14125e-05
         365    0.952037     0.95066 3.15533e-05
         366    0.952049    0.950664 3.16943e-05
         367    0.952061    0.950668 3.18356e-05
         368    0.952073    0.950672 3.19773e-05
         369    0.952085    0.950676 3.21192e-05
         370    0.952097     0.95068 3.22614e-05
         371     0.95211    0.950683 3.24039e-05
         372    0.952122    0.950687 3.25467e-05
         373    0.952134    0.950691 3.26899e-05
         374    0.952147    0.950695 3.28333e-05
         375    0.952159    0.950699  3.2977e-05
         376    0.952171    0.950703  3.3121e-05
         377    0.952184    0.950707 3.32653e-05
         378    0.952196    0.950711 3.34099e-05
         379    0.952209    0.950715 3.35548e-05
         380    0.952222    0.950719    3.37e-05
         381    0.952234    0.950723 3.38455e-05
         382    0.952247    0.950727 3.39913e-05
         383     0.95226    0.950731 3.41375e-05
         384    0.952272    0.950735 3.42839e-05
         385    0.952285    0.950739 3.44306e-05
         386    0.952298    0.950743 3.45776e-05
         387    0.952311    0.950747 3.47249e-05
         388    0.952324    0.950751 3.48725e-05
         389    0.952337    0.950755 3.50204e-05
         390     0.95235    0.950759 3.51686e-05
         391    0.952363    0.950763 3.53172e-05
